state,abbr,medianAge,sexRatio,medianIncome,percBelowPov,alcoholCons,smokers,physActive,percBachDeg
Alabama,AL,38.6,93.9,42830,19.3,40.1,21.1,72.4,23.5
Alaska,AK,33.3,109.8,71583,11.2,56.7,19.9,80.8,28
Arizona,AZ,36.9,98.7,50068,18.2,51.7,16.5,78.8,27.6
Arkansas,AR,37.8,96.5,41262,18.9,39.9,24.7,69.4,21.4
California,CA,36,98.6,61933,16.4,53.6,12.9,78.3,31.7
Colorado,CO,36.3,101.1,61303,12,61.2,15.7,83.6,38.3
Connecticut,CT,40.5,95.2,70048,10.8,60.8,15.4,79.4,38
Delaware,DE,39.6,94.3,59716,12.5,52.9,19.9,75.1,30.6
District of Columbia,DC,33.8,90.3,71648,17.7,67.4,16.4,79.2,55
Florida,FL,41.6,95.6,47463,16.5,54.4,17.7,76.3,27.3
Georgia,GA,36.1,95.1,49321,18.3,48.1,17.4,76.4,29.1
Hawaii,HI,38.1,102.1,69592,11.4,51,14.1,80.4,31
Idaho,ID,35.9,100,47861,14.8,48.5,15.9,81.3,25
Illinois,IL,37.5,96.4,57444,14.4,57.2,16.5,76.1,32.8
Indiana,IN,37.4,96.8,49446,15.2,47.9,22.9,73.9,24.7
Iowa,IA,38.2,98.9,53712,12.2,58.7,18.5,77.4,27.7
Kansas,KS,36.2,99,52504,13.6,51.5,18.1,76.2,31.5
Kentucky,KY,38.5,97.1,42958,19.1,37.2,26.2,71.8,22.2
Louisiana,LA,36.1,95.6,44555,19.8,49.4,24,70.5,22.9
Maine,ME,44.1,94.9,49462,14.1,59.2,19.3,80.3,29.4
Maryland,MD,38.3,94,73971,10.1,53.3,14.6,78.6,38.2
Massachusetts,MA,39.4,94.1,69160,11.6,61.9,14.7,79.9,41.2
Michigan,MI,39.6,96.4,49847,16.2,57,21.2,74.5,27.4
Minnesota,MN,37.8,98.9,61481,11.5,61.7,16.3,79.8,34.3
Mississippi,MS,36.7,94.9,39680,21.5,38.8,23,68.4,21.1
Missouri,MO,38.5,96,48363,15.5,45.5,20.6,75,27.5
Montana,MT,39.6,100.6,46328,15.4,59.6,19.9,80.4,29.3
Nebraska,NE,36.2,99,52686,12.4,59.2,17.3,78.7,29.5
Nevada,NV,37.4,101,51450,15.2,50.6,17,77.5,23.1
New Hampshire,NH,42.5,97.4,66532,9.2,62.5,17.5,80.7,35
New Jersey,NJ,39.4,95.4,71919,11.1,56.3,15.1,76.7,37.4
New Mexico,NM,37.2,98.1,44803,21.3,47.8,19.2,76.7,26.4
New York,NY,38.2,94.1,58878,15.9,54.5,14.4,74.1,34.5
North Carolina,NC,38.3,94.9,46556,17.2,46.2,19.1,76.8,28.7
North Dakota,ND,35.1,103.6,59029,11.5,61.2,19.9,78.7,27.4
Ohio,OH,39.4,95.9,49308,15.8,53.1,21,75.1,26.6
Oklahoma,OK,36.2,98.1,47529,16.6,41.7,21.1,71.7,24.2
Oregon,OR,39.3,97.9,51075,16.6,59,17,83.5,30.8
Pennsylvania,PA,40.7,95.7,53234,13.6,54.6,19.9,76.7,29
Rhode Island,RI,39.8,94.1,54891,14.3,63.2,16.3,77.5,30.4
South Carolina,SC,38.8,94.8,45238,18,47.3,21.5,74.7,26.3
South Dakota,SD,36.6,100.4,50979,14.2,55.6,18.6,78.8,27.8
Tennessee,TN,38.6,95,44361,18.3,40.5,24.2,73.2,25.3
Texas,TX,34.3,98.6,53035,17.2,48,14.5,72.4,27.8
Utah,UT,30.5,101.1,60922,11.7,29.8,9.7,83.2,31.1
Vermont,VT,42.8,97,54166,12.2,64.3,16.4,81,34.9
Virginia,VA,37.7,96.7,64902,11.8,51.7,19.5,76.5,36.7
Washington,WA,37.5,99.9,61366,13.2,59.5,15.3,81.9,33.1
West Virginia,WV,41.9,97.8,41059,18.3,32.7,26.7,71.3,19.2
Wisconsin,WI,39.2,98.6,52622,13.2,63.1,17.4,78.8,28.4
Wyoming,WY,36.6,103.6,57055,11.2,51.7,19.5,77.9,26.6
